,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,41,1,2,0.7425265337769018,2,1,2,1,2,0,1.3831382668932737,3,2,7,4,2,5993,0.7260199409380492,8,1,11,3,1,0,8,0,1,6,4,0,-0.10834951351067117
1,49,0,1,-1.2977746019136118,1,8,1,1,3,1,-0.2406767700620191,2,2,6,2,1,5130,1.4888761391146892,1,0,23,4,4,1,10,3,3,10,7,1,-0.29171858995657424
2,37,1,2,1.4143632382387843,1,2,2,4,4,1,1.2847252343505287,2,1,2,3,2,2090,-1.6748408610979753,6,1,15,3,2,0,7,3,3,0,0,0,-0.9376536912260358
3,33,0,1,1.4614661806180305,1,3,4,1,4,0,-0.4867093514188816,3,1,6,3,1,2909,1.2432105837696696,1,1,11,3,3,0,8,3,3,8,7,3,-0.7636336754564013
4,27,0,2,-0.5242947060017769,1,2,1,3,1,1,-1.2740136117608418,3,1,2,2,1,3468,0.3258998974213038,9,0,12,3,4,1,6,3,3,2,2,2,-0.6448581091374443
5,32,0,1,0.5020536174196967,1,2,2,1,4,1,0.645040522822686,3,1,2,4,2,3068,-0.34419928329096944,0,0,13,3,3,0,8,2,2,7,7,3,-0.7298495698307945
6,59,0,2,1.2928872289449382,1,3,3,3,3,0,0.743453555365431,4,1,2,1,1,2670,-0.6112270608399039,4,1,20,4,1,3,12,3,2,1,0,0,-0.814416073220678
7,30,0,2,1.3771767047814845,1,24,1,1,4,1,0.05456232756621595,3,1,2,3,0,2693,-0.1374635670938734,1,0,22,4,2,1,1,2,3,1,0,0,-0.8095290642308104
8,38,0,1,-1.4539580424342708,1,23,3,1,4,1,-1.0771875466753518,2,3,4,3,2,9526,-0.7766437419846911,0,0,21,4,2,0,10,2,3,9,7,1,0.6423375630633446
9,36,0,2,1.230909673182772,1,27,3,3,3,1,1.3831382668932737,3,2,0,3,1,5237,0.31817014596593995,6,0,13,3,2,2,17,3,2,7,7,7,-0.2689833742211031
10,35,0,2,0.016149580244313087,1,16,3,3,1,1,0.8910731041795485,4,1,2,2,1,2426,0.304397134281837,0,0,13,3,3,1,6,5,3,5,4,0,-0.8662608642436216
11,29,0,2,-1.6101414829549299,1,15,2,1,4,0,-0.8311549653184892,2,2,2,3,2,4193,-0.22923679800937558,0,1,12,3,4,0,10,3,3,9,5,0,-0.4908110866307471
12,31,0,2,-0.32844562979333136,1,26,1,1,1,1,-1.7168722582031943,3,1,6,3,0,2911,0.12042904964417642,1,0,17,3,4,1,5,1,2,5,2,4,-0.7632087181529345
13,34,0,2,1.3474274780156446,1,19,2,3,2,1,1.333931750621901,3,1,2,4,0,2661,-0.7807194291157011,0,0,11,3,3,1,3,2,3,2,2,1,-0.8163283810862784
14,28,1,2,-1.7340965944792623,1,24,3,1,3,1,-0.7819484490471167,2,1,2,3,2,2028,-0.19199345008807683,5,1,14,3,2,0,6,4,3,4,2,0,-0.9508273676335051
15,29,0,2,1.4540288739265705,1,21,4,1,2,0,-0.7327419327757442,4,3,4,1,0,9980,-0.5787621047273755,1,0,11,3,3,1,10,1,3,10,9,8,0.738802870950297
16,32,0,2,-1.1614239792368461,1,5,2,1,1,1,0.6942470390940585,4,1,6,2,0,3298,0.10398576018458414,0,1,12,3,4,2,7,5,2,6,2,0,-0.6809794799321182
17,22,0,0,0.7945876806171215,1,16,2,3,4,1,1.4815512994360187,4,1,2,4,0,2935,-0.9822551306973706,1,1,13,3,2,2,1,2,2,1,0,0,-0.7581092305113335
18,53,0,2,1.0325814947438399,2,2,4,1,1,0,0.5958340065513135,2,4,3,4,1,15427,1.083274999111413,2,0,16,3,3,0,31,3,3,25,8,3,1.8961740869419934
19,38,0,2,-1.06969719670884,1,2,3,1,4,1,-1.0279810304039791,3,1,6,4,2,3944,-1.40640767419352,5,1,11,3,3,0,6,3,3,3,2,1,-0.5437182709123576
20,24,0,0,-0.32100832310187144,1,11,2,4,1,0,1.4815512994360187,4,2,4,3,0,4011,-0.8546439612160903,0,0,18,3,4,1,5,5,2,4,2,1,-0.5294822012462215
21,36,1,2,1.0301023925133532,2,9,4,1,3,1,0.7926600716368035,2,1,8,1,2,3407,-1.0297579669139705,7,0,23,4,2,0,10,4,3,5,3,0,-0.6578193068931802
22,34,0,2,-0.9507002896454807,1,7,4,1,1,0,-0.6343289002329991,3,3,5,2,2,11994,0.9809611980295055,0,0,11,3,3,0,13,4,3,12,6,2,1.1667348755413154
23,21,0,2,-1.020115152099107,1,15,2,1,3,1,1.4815512994360187,3,1,6,4,2,1232,0.6981928356987392,1,0,14,3,4,0,0,6,3,0,0,0,-1.119960374413272
24,34,1,2,-0.2565516651092185,1,6,1,3,2,1,0.841866587908176,3,1,6,1,2,2960,0.3919541371307771,2,0,11,3,3,0,8,2,3,4,2,1,-0.7527972642179991
25,53,0,2,1.188764935264499,1,5,3,4,3,0,-0.3882963188761366,3,5,3,3,0,19094,-0.5028699995292573,4,0,11,3,4,1,26,3,2,14,13,4,2.6753333028482813
26,32,1,1,0.7995458850780948,1,16,1,1,2,0,0.3005949089230785,1,1,6,1,2,3919,-1.3537048233614937,1,1,22,4,2,0,10,5,3,10,2,6,-0.549030237205692
27,42,0,2,-0.2763844829531117,2,8,4,2,3,1,-0.8803614815898617,3,2,7,2,1,6825,0.964096285763257,0,0,11,3,4,1,10,2,3,9,7,4,0.06843272473149725
28,44,0,2,-0.806912360277255,1,7,4,3,1,0,-1.1756005792180968,2,3,0,4,1,10248,-1.7172842236347006,3,0,14,3,4,1,24,4,3,22,6,5,0.7957471496148416
29,46,0,2,-0.2416770517262986,2,2,4,2,2,0,0.841866587908176,3,5,3,1,2,18947,1.1958482884886217,3,0,12,3,4,0,22,2,2,2,2,2,2.644098941043475
30,33,0,2,0.30124633675027795,1,2,3,3,3,1,0.5958340065513135,3,1,2,4,2,2496,-1.074168902548425,4,0,11,3,4,0,7,3,3,1,1,0,-0.8513873586222853
31,44,0,2,1.627566030060636,1,10,4,4,4,1,-1.2248070954894692,3,2,0,4,1,6465,0.6757062860104079,2,1,13,3,4,0,9,5,4,4,2,1,-0.008059589892517928
32,30,0,2,-1.679556345408556,1,9,2,3,4,1,0.841866587908176,2,1,2,3,2,2206,0.2535213156119874,1,0,13,3,1,0,10,5,3,10,0,1,-0.9130061676249642
33,39,1,2,0.22935237206616507,2,5,3,5,4,1,-0.4867093514188816,3,2,8,4,1,2086,-1.5428729226145808,3,0,14,3,3,1,19,6,4,1,0,0,-0.9385036058329693
34,24,1,2,0.02606598916625969,1,1,3,3,2,1,-0.2406767700620191,3,1,6,4,1,2293,-1.587143317313483,2,1,16,3,1,1,6,2,2,2,0,2,-0.8945205249241606
35,43,0,2,1.1664530151901191,1,2,2,3,4,0,0.3005949089230785,4,1,6,3,0,2645,1.0695019874273102,1,0,12,3,4,2,6,3,2,5,3,1,-0.8197280395140124
36,50,1,2,0.16489571407351214,2,3,2,2,1,1,0.9894861367222936,2,1,8,3,1,2683,-1.4761159782273472,1,1,14,3,3,0,3,2,3,3,2,0,-0.8116538507481441
